rank,source,current_mpn,quantity_per_prototype,current_group_cost_usd,market_result,best_mass_market_route,availability,functional_delta,paper_saving_usd,verdict,current_source,candidate_source,checked_on,decision_on
11,external_antenna,ANT-315-CW-HW-SMA,1,9.6,mass_market_stocked_broad_315_profile,Joymax UHX-328ASA2B,958 DigiKey stock; USD 5.5693 at 100,"candidate is 312-317 rather than 304-325 MHz, -0.4 rather than 0 dBi and 1 W; adequate only for the exact 315-MHz profile after VNA/TX HIL",4.0307,retain_user_decision_candidate_rejected,https://www.te.com/en/product-ANT-315-CW-HW-SMA.html,https://www.digikey.com/en/products/detail/joymax-electronics/UHX-328ASA2B/28334978,2026-08-29,2026-08-30
12,base_bom,TE Connectivity 2118651-2,5,9.1055,mass_market_stocked_exact_cable,retain exact 30-mm 1.13-mm U.FL-to-U.FL jumper,"3,082 authorized-distributor stock; quantity-one and volume routes","generic unnamed cables do not prove length, 9-GHz rating, connector retention or controlled factory routing",0.0,retain_no_documented_no_worse_lower_cost_route,https://www.te.com/en/product-2118651-2.html,https://www.digikey.com/en/products/detail/te-connectivity-laird/2118651-2/13683867,2026-08-29,
13,base_bom,Ebyte E01-ML01SP4,3,8.889899999999999,exact_factory_stocked,retain JLCPCB C97340,405 stock / 388 orderable; MOQ 1,bare nRF24 or lower-power modules would remove the accepted full-duplex PA/LNA result; no cheaper exact 20-dBm factory module was proven,0.0,retain_current_is_mass_market_best_fit,https://jlcpcb.com/partdetail/E01-ML01SP4/C97340,https://www.ebyte.com/product/1200.html,2026-08-29,
14,base_bom,Keystone Electronics 1048P,1,8.57,mass_market_authorized_stock_jlc_preorder,retain 1048P; use reviewed factory sourcing/consignment route,580 DigiKey plus 145 Mouser stock; JLCPCB C6038062 pre-order,"cheap holders checked so far are single-cell or do not prove protected button-top length, polarity pre-contact and enclosure-supported insertion loads",0.0,retain_safety_mechanics_not_matched,https://www.digikey.com/en/products/detail/keystone-electronics/1048P/4499417,https://jlcpcb.com/partdetail/KeystoneElectronics-1048P/C6038062,2026-08-29,
15,base_bom,Texas Instruments TMUX1136DGSR,4,8.2324,exact_factory_stocked,retain TMUX1136DGSR C2673301,live JLCPCB stock; Standard-PCBA route,"cheaper TS5A-class switches lose the current leakage, temperature or low-charge-injection contract used by quiet audio/control isolation",0.0,retain_no_no_worse_mux_found,https://jlcpcb.com/partdetail/TexasInstruments-TMUX1136DGSR/C2673301,https://www.ti.com/lit/ds/symlink/tmux1136.pdf,2026-08-29,
16,base_bom,LTC5532ES6#TRMPBF,2,7.7754,limited_exact_factory_stock,retain LTC5532; exact-one needs two and current stock covers it,JLCPCB C580926 stock 6; MOQ 1,"cheaper AD8319-class alternatives draw far more current and change input range, calibration and detector topology",0.0,retain_exact_one_covered_no_no_worse_equivalent,https://jlcpcb.com/partdetail/AnalogDevices-LTC5532ES6TRMPBF/C580926,https://www.analog.com/media/en/technical-documentation/data-sheets/5532f.pdf,2026-08-29,
17,base_bom,Samtec FTSH-105-01-L-DV-K-P-TR,4,6.7964,exact_factory_stocked,retain JLCPCB C2932107,890 stock / 887 orderable; MOQ 1; USD 1.41 quantity one,unfitted Tag-Connect pads save BOM but require a USD 39 cable and worsen long recovery/debug sessions for the sole prototype,0.0,retain_best_exact_one_workflow,https://jlcpcb.com/partdetail/Samtec-FTSH_105_01_L_DV_K_PTR/C2932107,https://www.tag-connect.com/product/tc2050-idc-nl-10-pin-no-legs-cable-with-ribbon-connector,2026-08-29,
18,base_bom,ESP32-S3-WROOM-1U-N16R8,1,5.108,exact_factory_stocked,retain exact N16R8 external-antenna module,live JLCPCB C3013946 Standard-PCBA stock route,"lower-memory or PCB-antenna variants lose the accepted large-firmware margin, PSRAM or external RF path; no equal-memory cheaper route was proven",0.0,retain_function_defining_memory_and_rf_variant,https://jlcpcb.com/partdetail/EspressifSystems-ESP32S3WROOM1UN16R8/C3013946,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,2026-08-29,
19,base_bom,GCT RFPC-SMA32-FN-175-A,2,4.92912,mass_market_stocked_exact_mechanical_solution,retain current GCT reverse-polarity body,"556 DigiKey, 158 Mouser and 219 TME stock","the standard/reverse pair must share the exact 5+5 load path and opposing clearance; checked cheaper pairs fail orientation, geometry or exact-one factory assembly",0.0,retain_no_no_worse_drop_in,https://www.digikey.com/en/products/detail/gct/RFPC-SMA32-FN-175-A/17833785,https://jlcpcb.com/partdetail/DreamLNK-SMAKWE901/C914553,2026-08-29,
20,external_antenna,TI.08.C.0112,1,4.7866,mass_market_stocked_dual_band,Seeed Studio 113070002 868/915-MHz whip,in stock; USD 2.49,"candidate preserves both bands, SMA and 10 W but changes right-angle mechanics and falls from 2.48 to 2.0 dBi at 868 MHz; both regional EIRP limits require HIL",2.2966,retain_user_decision_candidate_rejected,https://www.taoglas.com/datasheets/TI.08.C.0112.pdf,https://www.seeedstudio.com/External-Antenna-868-915MHZ-2dBi-SMA-L195mm-Foldable-p-5863.html,2026-08-29,2026-08-30
